"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"PGBD5",133.150339732154,-2.57006942780986,0.255883216028692,-10.0439156100089,9.77164798723383e-24,8.98293639969282e-22,"PGBD5"
"PIEZO2",153.23479367767,-2.56742576662667,0.230206828386494,-11.1526916235353,6.9472511405936e-29,9.27226452231226e-27,"PIEZO2"
"NA",8.33145795249569,-2.55885438344821,0.786191153461805,-3.25474838044273,0.00113492869507645,0.00745231240083363,NA
"ALDH3A1",7.42552197672761,-2.5566960341142,0.828117234573159,-3.08736001060528,0.00201942862639483,0.0121937215115221,"ALDH3A1"
"BLNK",21.1129408791883,-2.55663691350723,0.555134157222108,-4.60543974865579,4.11595147675153e-06,5.01089281811548e-05,"BLNK"
"LRRC15",231.277302725498,-2.55661528107851,0.249337523575326,-10.2536322829329,1.13978105635921e-24,1.12221721713007e-22,"LRRC15"
"CCN3",435.712716722131,-2.55248049813862,0.182762090274119,-13.9661375852631,2.50867532050888e-44,6.84868362498926e-42,"CCN3"
"TENT5C",90.0360052786607,-2.54731077623932,0.302181015636965,-8.42975119025881,3.46400944714713e-17,1.71468467633783e-15,"TENT5C"
"KCTD12",2649.85014895882,-2.52817436865544,0.134430116041298,-18.8066070543208,6.66707120286716e-79,7.06631111372121e-76,"KCTD12"
"ADAMTS14",799.568584106461,-2.50719250886751,0.169059462082559,-14.8302406619697,9.33975154232179e-50,3.17516308093498e-47,"ADAMTS14"
"RPS6KA5",87.3238286571985,-2.50719114914744,0.263627167420385,-9.5103671358325,1.89990812508252e-21,1.45053155075156e-19,"RPS6KA5"
"NEK10",160.225059048447,-2.49613816061719,0.229802835290767,-10.862086002807,1.74711954957542e-27,2.12700000298985e-25,"NEK10"
"NA",11.6951096018029,-2.49314647844572,0.693443421926828,-3.59531347419545,0.000324001202950841,0.00250659238933802,NA
"IL4I1",7.10214120013008,-2.49312825685646,0.842950698944878,-2.95762048714962,0.00310023561321915,0.017450810771316,"IL4I1"
"NA",6.11948604966171,-2.49244467651095,0.863459164843352,-2.88658083438506,0.00389452691867492,0.0211678992520919,NA
"FLRT3",178.654450436053,-2.48155124454082,0.237997874375015,-10.4267790250539,1.87124225374226e-25,1.9832966428193e-23,"FLRT3"
"HBA1",11.1292800326444,-2.4740457486544,0.658895043545944,-3.75484043003261,0.000173451947118902,0.00143888452264658,"HBA1"
"NA",13.1883989199954,-2.46229311895758,0.737742182400152,-3.33760652121967,0.000845033240176959,0.00579589224267547,NA
"PLA2G4A",111.969948202533,-2.4507605878786,0.264983335009528,-9.24873478473837,2.27165600490491e-20,1.58033582611493e-18,"PLA2G4A"
"NA",4.76142269022145,-2.44814676669123,1.03243336444394,-2.37123949206134,0.0177285393930692,0.0723845055029051,NA
"AQP7",5.87212301333227,-2.44709846038536,1.03870227172409,-2.35591904148197,0.0184769440976561,0.0747122034900285,"AQP7"
"SOX4",1281.46865801595,-2.41198994043759,0.140805776963684,-17.1299075396578,8.87957189112432e-66,5.5169698735958e-63,"SOX4"
"LRRC17",1137.04634294187,-2.40963107849756,0.311307056273283,-7.74036768502364,9.9129717642092e-15,3.93418337549606e-13,"LRRC17"
"PLPPR4",39.28772884718,-2.37819505289268,0.428720080760611,-5.54719771621945,2.90284423680046e-08,5.21990493599508e-07,"PLPPR4"
"AMOT",386.415162103212,-2.37428187003869,0.175174683123234,-13.5537957181199,7.52368014187684e-42,1.71597049109287e-39,"AMOT"
"NA",4.6175075853947,-2.36610556304925,0.996643618668715,-2.37407386023282,0.0175930308523191,0.0719290287944373,NA
"RND2",158.263285028196,-2.36349732846994,0.259026275440612,-9.12454662929293,7.20371374146909e-20,4.78953926914355e-18,"RND2"
"NA",6.0788253225086,-2.3221827866253,0.996351324658864,-2.33068670573644,0.0197698857033209,0.0788828459023366,NA
"CAMK2A",23.585469416522,-2.31393098458047,0.461402324387078,-5.01499637578607,5.30344654052837e-07,7.55395255076997e-06,"CAMK2A"
